"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.033039775,0,0.5,7.325760091,0.04,0.04,,,0,0.04,0.586060807,2.820675552,1.765458799,1.765458799,,,0,0.102,0.425,1.494455059,6.226896078
0.021568085,0,0.5,5.257610529,0.04,0.04,,,0,0.04,0.420608842,2.820675552,1.765458799,1.765458799,,,0,0.113,0.5,1.18821998,5.257610529
0.018291019,0,0.5,4.625087978,0.04,0.04,,,0,0.04,0.370007038,2.820675552,1.765458799,1.765458799,,,0,0.107,0.5,0.989768827,4.625087978
0.029280918,0,0.5,6.66893347,0.04,0.04,,,0,0.04,0.533514678,2.820675552,1.765458799,1.765458799,,,0,0.096,0.42,1.280435226,5.601904114
0.053302018,0.056,0.5,10.62679368,0.04,0.012,,,0,0.012,0.255043048,0.846202666,0.52963764,0.52963764,,,0,0.05,0.2,1.062679368,4.250717473
0.030479173,0,0.5,6.880248165,0.0225,0.0225,,,0,0.0225,0.309611167,1.586629998,0.993070574,0.993070574,,,0,0.046,0.26,0.632982831,3.577729046
0.022660222,0,0.5,5.46353524,0.0225,0.0225,,,0,0.0225,0.245859086,1.586629998,0.993070574,0.993070574,,,0,0.024,0.325,0.262249692,3.551297906
0.020191224,0,0.5,4.994659746,0.0225,0.0225,,,0,0.0225,0.224759689,1.586629998,0.993070574,0.993070574,,,0,0.046,0.35,0.459508697,3.496261822
0.026114235,0,0.5,6.100916581,0.0225,0.0225,,,0,0.0225,0.274541246,1.586629998,0.993070574,0.993070574,,,0,0.051,0.325,0.622293491,3.965595778
0.018137205,0,0.5,4.594809034,0.0225,0.0225,,,0,0.0225,0.206766407,1.586629998,0.993070574,0.993070574,,,0,0.053,0.4,0.487049758,3.675847227
0.019571527,0,0.5,4.87501994,0.031,0.031,,,0,0.031,0.302251236,2.186023553,1.368230569,1.368230569,,,0,0.079,0.51,0.770253151,4.972520339
